date,deal_type,volume_gj_per_day,price,supplier,delivery_point,start_date,end_date
2021-08-02,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2021-08-03,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2021-08-04,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2021-08-05,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2021-08-06,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2021-08-07,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2021-08-08,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2021-08-09,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2021-08-10,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2021-08-11,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2021-08-12,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2021-08-13,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2021-08-14,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2021-08-15,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2021-08-16,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2021-08-17,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2021-08-18,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2021-08-19,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2021-08-20,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2021-08-21,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2021-08-22,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2021-08-23,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2021-08-24,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2021-08-25,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2021-08-26,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2021-08-27,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2021-08-28,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2021-08-29,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2021-08-30,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2021-08-31,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2021-09-01,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2021-09-02,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2021-09-03,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2021-09-04,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2021-09-05,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2021-09-06,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2021-09-07,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2021-09-08,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2021-09-09,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2021-09-10,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2021-09-11,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2021-09-12,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2021-09-13,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2021-09-14,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2021-09-15,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2021-09-16,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2021-09-17,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2021-09-18,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2021-09-19,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2021-09-20,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2021-09-21,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2021-09-22,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2021-09-23,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2021-09-24,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2021-09-25,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2021-09-26,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2021-09-27,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2021-09-28,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2021-09-29,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2021-09-30,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2021-10-01,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2021-10-02,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2021-10-03,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2021-10-04,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2021-10-05,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2021-10-06,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2021-10-07,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2021-10-08,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2021-10-09,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2021-10-10,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2021-10-11,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2021-10-12,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
